Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
64,64,JP,9781442310964,Japanese 3,3,,,10R,,M,私にはむずかしいです。,watashi ni wa muzukashii desu.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0064.mp3,"9,15"
65,65,JP,9781442310964,Japanese 3,3,,,11Q,,N,English is easy.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0065.mp3,"9,15"
66,66,JP,9781442310964,Japanese 3,3,,,11R,,M,英語は易しいです。,eigo wa yasashii desu.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0066.mp3,"9,15"
67,67,JP,9781442310964,Japanese 3,3,,,12Q,,N,"At a school in America, I learned.",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0067.mp3,"9,15"
68,68,JP,9781442310964,Japanese 3,3,,,12R,,M,アメリカの学校で習いました。,amerika no gakko de naraimashita.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0068.mp3,"9,15"
69,69,JP,9781442310964,Japanese 3,4,,,01Q,,N,The food in this restaurant is very delicious.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0069.mp3,"5,6"
70,70,JP,9781442310964,Japanese 3,4,,,01R,,F,このレストランは、とてもおいしいです。,kono resutoran wa totemo oishii desu.,6,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0070.mp3,"5,6"
71,71,JP,9781442310964,Japanese 3,4,,,02Q,,N,What does your daughter do?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0071.mp3,"5,9"
72,72,JP,9781442310964,Japanese 3,4,,,02R,,M,娘さんは何をなさっていますか。,musume san wa nani o nasatte imasu ka.,8,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0072.mp3,"5,9"
73,73,JP,9781442310964,Japanese 3,4,,,03Q,,N,What would you like to drink? (polite),,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0073.mp3,"6,9,13"
